college_name,choice_code,course_name,category,rank,percentile
"1002 Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,GOPEN,1432,91.37
"1002 Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,GSC,2087,90.26
"1002 Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,GSEBC,2895,89.21
"1002 Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,LOPEN,1270,91.68
"1002 Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,LST,7466,85.05
"1002 Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,LOBC,1376,91.48
"1002 Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,EWS,6296,85.95
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,GOPEN,658,93.21
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,GSC,2779,89.37
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,GST,27871,73.6
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,GOBC,1094,92.05
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,LOPEN,396,94.16
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,LSEBC,2806,89.31
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,EWS,3001,89.09
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,GOPEN,1320,91.58
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,GST,33650,70.8
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,GSEBC,1794,90.74
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,LOPEN,1244,91.74
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,LSC,5634,86.51
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,LOBC,1512,91.2
"1002 Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,EWS,3559,88.51
"1002 Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,GOPEN,1390,91.44
"1002 Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,GSC,2393,89.89
"1002 Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,GNTA,4219,87.83
"1002 Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,GOBC,1500,91.22
"1002 Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,GSEBC,1716,90.89
"1002 Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,LOPEN,2839,89.28
"1002 Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,LST,13793,80.94
"1002 Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,EWS,6107,86.11
"1002 Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,GOPEN,1991,90.41
"1002 Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,GSC,8926,84.0
"1002 Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,GST,36099,69.59
"1002 Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,GOBC,2793,89.35
"1002 Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,LOPEN,2744,89.41
"1002 Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,LOBC,4829,87.24
"1002 Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,LSEBC,3299,88.76
"1002 Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,EWS,195,95.26
"1002 Government College of Engineering, Amravati (Government Autonomous)",100246610,Instrumentation Engineering,GOPEN,10385,83.06
"1002 Government College of Engineering, Amravati (Government Autonomous)",100246610,Instrumentation Engineering,GOBC,11545,82.32
"1002 Government College of Engineering, Amravati (Government Autonomous)",100246610,Instrumentation Engineering,GSEBC,11743,82.18
"1002 Government College of Engineering, Amravati (Government Autonomous)",100246610,Instrumentation Engineering,LSC,35813,69.72
"1002 Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,GOPEN,4135,87.89
"1002 Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,GSC,5864,86.31
"1002 Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,GST,29646,72.77
"1002 Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,LOPEN,3247,88.82
"1002 Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,LOBC,4775,87.28
"1002 Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,LSEBC,22554,76.21
"1002 Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,EWS,8960,84.0
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100550310,Food Technology,GOPEN,20584,77.18
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100550310,Food Technology,LOPEN,32141,71.54
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100552710,Petro Chemical Engineering,GOPEN,21254,76.83
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100552710,Petro Chemical Engineering,LOPEN,8451,84.33
"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,GOPEN,6501,85.8
"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,GSC,13781,80.95
"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,GST,13512,81.11
"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,GNTB,14508,80.53
"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,GNTC,10232,83.16
"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,GOBC,8306,84.42
"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,GSEBC,27526,73.74
"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,LOPEN,6287,85.95
"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,LOBC,13075,81.37
"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,DEFR-OBC,16811,79.26
"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,EWS,14994,80.26
"1012 Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,GOPEN,4118,87.89
"1012 Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,GSC,6068,86.13
"1012 Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,GOBC,4233,87.8
"1012 Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,LOPEN,2342,89.94
"1012 Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,LOBC,3622,88.46
"1012 Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,LSEBC,2838,89.28
"1012 Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,EWS,6598,85.71
"1012 Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,GOPEN,5218,86.89
"1012 Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,GSC,5461,86.67
"1012 Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,GOBC,5986,86.22
"1012 Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,GSEBC,5219,86.89
"1012 Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,LOPEN,5149,86.95
"1012 Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,LST,20637,77.17
"1012 Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,LOBC,9594,83.56
"1012 Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,EWS,16733,79.3
"1012 Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,PWDR-OBC,27482,73.76
"1012 Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,GOPEN,6981,85.41
"1012 Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,GOBC,7516,85.0
"1012 Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,LOPEN,6559,85.76
"1012 Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,LSC,13998,80.82
"1012 Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,LNTA,18513,78.29
"1012 Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,LSEBC,13220,81.29
"1012 Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,EWS,17947,78.59
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124210,Computer Science and Engineering,GOPEN,2224,90.11
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124210,Computer Science and Engineering,GSC,7509,85.0
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124210,Computer Science and Engineering,GST,43392,65.15
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124210,Computer Science and Engineering,GOBC,2732,89.42
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124210,Computer Science and Engineering,LOPEN,1033,92.17
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124210,Computer Science and Engineering,LNTB,6780,85.55
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124210,Computer Science and Engineering,LSEBC,2648,89.54
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124210,Computer Science and Engineering,EWS,8219,84.47
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110135610,Electrical Engg[Electronics and Power],GOPEN,3717,88.33
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110135610,Electrical Engg[Electronics and Power],GST,23935,75.5
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110135610,Electrical Engg[Electronics and Power],GOBC,5674,86.5
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110135610,Electrical Engg[Electronics and Power],GSEBC,17923,78.61
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110135610,Electrical Engg[Electronics and Power],LOPEN,3236,88.83
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110135610,Electrical Engg[Electronics and Power],LSC,19964,77.5
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110135610,Electrical Engg[Electronics and Power],EWS,14268,80.67
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",110519110,Civil Engineering,GOPEN,11002,82.68
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",110519110,Civil Engineering,GSC,19097,77.95
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",110519110,Civil Engineering,GST,34154,70.53
